iter,timesteps,episodes,avg_return,cvar_return,policy_loss,value_loss,entropy,elapsed_s,steps_per_s
1,4096,26,12.58,-32.81,-0.0000,42.3671,1.3837,6.52,628.66
2,8192,54,6.74,-34.27,-0.0000,52.0683,1.3840,13.04,628.16
3,12288,82,5.72,-40.10,-0.0000,51.3559,1.3842,19.55,628.61
4,16384,112,3.28,-40.45,-0.0000,53.2233,1.3841,26.04,629.22
5,20480,144,2.05,-41.22,-0.0000,58.9168,1.3841,32.54,629.45
6,24576,177,-4.02,-44.84,-0.0000,63.7486,1.3839,39.11,628.37
7,28672,206,-0.08,-39.10,-0.0000,56.6797,1.3842,45.75,626.76
8,32768,239,-5.43,-42.67,-0.0000,62.1568,1.3844,52.33,626.19
9,36864,265,13.25,-36.08,-0.0000,42.3489,1.3842,59.03,624.45
10,40960,303,-9.76,-46.33,-0.0001,77.2733,1.3844,65.53,625.02
11,45056,336,-2.11,-43.14,-0.0001,58.3931,1.3852,72.02,625.60
12,49152,366,0.57,-44.52,-0.0000,50.2704,1.3854,78.53,625.93
13,53248,397,6.30,-43.40,-0.0001,48.7197,1.3853,85.17,625.20
14,57344,427,11.57,-38.56,0.0000,45.5086,1.3847,91.70,625.33
15,61440,461,-4.71,-41.91,-0.0001,65.7131,1.3841,98.35,624.68
16,65536,495,-6.26,-44.91,0.0000,69.9191,1.3846,104.92,624.62
17,69632,522,6.19,-39.08,-0.0000,48.9660,1.3841,111.43,624.87
18,73728,556,-3.34,-45.16,-0.0001,62.0797,1.3848,117.93,625.18
19,77824,583,15.09,-29.88,-0.0000,40.8033,1.3850,124.42,625.52
20,81920,615,3.10,-42.38,-0.0001,54.2121,1.3848,130.82,626.20
21,86016,646,7.37,-40.70,-0.0000,51.7614,1.3841,137.37,626.16
22,90112,676,0.81,-40.30,0.0000,57.3735,1.3831,143.93,626.06
23,94208,704,11.23,-32.98,0.0000,45.3331,1.3819,150.40,626.40
24,98304,738,-5.13,-41.30,-0.0004,66.8153,1.3817,156.86,626.69
25,102400,767,-3.30,-41.75,-0.0000,52.7356,1.3790,163.66,625.69
26,106496,793,9.68,-36.57,-0.0001,37.7328,1.3784,170.18,625.78
27,110592,822,3.52,-43.04,-0.0001,49.5813,1.3788,176.76,625.66
28,114688,850,8.54,-40.12,-0.0001,45.3050,1.3799,183.27,625.79
29,118784,875,9.31,-32.79,-0.0002,37.3936,1.3817,189.83,625.75
30,122880,906,0.70,-43.35,0.0000,51.8628,1.3794,196.30,625.96
